,source,target,with_ch
2018,Veda,3 of 5,"['Calamity', 'Madrox', 'Veda', 'Young X-Men', 'Young X-Men']"
2019,Vengeance (Michael Badilino),2nd cover,"['Vengeance (Michael Badilino)', 'Vengeance (Michael Badilino)', 'Vengeance (Michael Badilino)', 'Vengeance (Michael Badilino)', 'Vengeance (Michael Badilino)', 'Vengeance (Michael Badilino)', 'Vengeance (Michael Badilino)', 'Vengeance (Michael Badilino)']"
2020,Vengeance (Michael Badilino),Tower of Blood,['Vengeance (Michael Badilino)']
2021,Vengeance (Michael Badilino),Vengeance Forsaken [Tower of Blood],['Vengeance (Michael Badilino)']
2022,Vengeance (Michael Badilino),The Price,['Vengeance (Michael Badilino)']
2023,Vengeance (Michael Badilino),2nd cover,"['Vengeance (Michael Badilino)', 'Vengeance (Michael Badilino)', 'Vengeance (Michael Badilino)', 'Vengeance (Michael Badilino)', 'Vengeance (Michael Badilino)', 'Vengeance (Michael Badilino)', 'Vengeance (Michael Badilino)', 'Vengeance (Michael Badilino)']"
2024,Vengeance (Michael Badilino),Dangerous Games,['Vengeance (Michael Badilino)']
2025,Vengeance (Michael Badilino),2nd cover,"['Vengeance (Michael Badilino)', 'Vengeance (Michael Badilino)', 'Vengeance (Michael Badilino)', 'Vengeance (Michael Badilino)', 'Vengeance (Michael Badilino)', 'Vengeance (Michael Badilino)', 'Vengeance (Michael Badilino)', 'Vengeance (Michael Badilino)']"
2026,Vengeance (Michael Badilino),Urban Safari [Dangerous Games],['Vengeance (Michael Badilino)']
2027,Vengeance (Michael Badilino),2nd cover,"['Vengeance (Michael Badilino)', 'Vengeance (Michael Badilino)', 'Vengeance (Michael Badilino)', 'Vengeance (Michael Badilino)', 'Vengeance (Michael Badilino)', 'Vengeance (Michael Badilino)', 'Vengeance (Michael Badilino)', 'Vengeance (Michael Badilino)']"
2028,Vengeance (Michael Badilino),Hunter's Prey [Dangerous Games],['Vengeance (Michael Badilino)']
2029,Vengeance (Michael Badilino),2nd cover,"['Vengeance (Michael Badilino)', 'Vengeance (Michael Badilino)', 'Vengeance (Michael Badilino)', 'Vengeance (Michael Badilino)', 'Vengeance (Michael Badilino)', 'Vengeance (Michael Badilino)', 'Vengeance (Michael Badilino)', 'Vengeance (Michael Badilino)']"
2030,Vengeance (Michael Badilino),Targets [Dangerous Games],['Vengeance (Michael Badilino)']
2031,Vengeance (Michael Badilino),2nd cover,"['Vengeance (Michael Badilino)', 'Vengeance (Michael Badilino)', 'Vengeance (Michael Badilino)', 'Vengeance (Michael Badilino)', 'Vengeance (Michael Badilino)', 'Vengeance (Michael Badilino)', 'Vengeance (Michael Badilino)', 'Vengeance (Michael Badilino)']"
2032,Vengeance (Michael Badilino),Altered Spirits,['Vengeance (Michael Badilino)']
2033,Vengeance (Michael Badilino),2nd cover,"['Vengeance (Michael Badilino)', 'Vengeance (Michael Badilino)', 'Vengeance (Michael Badilino)', 'Vengeance (Michael Badilino)', 'Vengeance (Michael Badilino)', 'Vengeance (Michael Badilino)', 'Vengeance (Michael Badilino)', 'Vengeance (Michael Badilino)']"
2034,Vengeance (Michael Badilino),Souls of Suffering [Altered Spirits],['Vengeance (Michael Badilino)']
2035,Vengeance (Michael Badilino),2nd cover,"['Vengeance (Michael Badilino)', 'Vengeance (Michael Badilino)', 'Vengeance (Michael Badilino)', 'Vengeance (Michael Badilino)', 'Vengeance (Michael Badilino)', 'Vengeance (Michael Badilino)', 'Vengeance (Michael Badilino)', 'Vengeance (Michael Badilino)']"
2036,Venom (Flash Thompson),1 of 1,"['Fin Fang Foom', 'Firestar (Ultimate)', 'Gauntlet (Joseph Green)', 'Hardball', 'Hawkeye (Kate Bishop)', 'Janus, the Nega-Man', 'Layla Miller', 'U.S. Agent', 'Venom (Flash Thompson)', 'Venom (Flash Thompson)']"
2037,Venom (Flash Thompson),"Venom: Lethal Protector 6, Spider-Man: Mysterio Manifesto 3",['Venom (Flash Thompson)']
2038,Venom (Flash Thompson),1 of 1,"['Fin Fang Foom', 'Firestar (Ultimate)', 'Gauntlet (Joseph Green)', 'Hardball', 'Hawkeye (Kate Bishop)', 'Janus, the Nega-Man', 'Layla Miller', 'U.S. Agent', 'Venom (Flash Thompson)', 'Venom (Flash Thompson)']"
2039,Venom (Flash Thompson),Amazing Spider-Man (1999) #622 - Int,['Venom (Flash Thompson)']
2040,Venom (Flash Thompson),Amazing Spider-Man (1999) #647 - Int,['Venom (Flash Thompson)']
2041,Venom (Flash Thompson),Amazing Spider-Man (1999) #665 - Int,['Venom (Flash Thompson)']
2042,Venom (Flash Thompson),Amazing Spider-Man (1999) #669 - Int,"['Jackal', 'Venom (Flash Thompson)']"
2043,Venom (Flash Thompson),Amazing Spider-Man (1999) #668 - Int,"['Jackal', 'Venom (Flash Thompson)']"
2044,Venom (Flash Thompson),Amazing Spider-Man (1999) #654 - Int,['Venom (Flash Thompson)']
2045,Venom (Flash Thompson),"Venom (2011) #3, X-Men Art Variant",['Venom (Flash Thompson)']
2046,Venom (Mac Gargan),Avengers: The Initiative (2007) #3 - Int,['Venom (Mac Gargan)']
2047,Venom (Mac Gargan),Amazing Spider-Man (1999) #649 - Int,['Venom (Mac Gargan)']
2048,Venom (Mac Gargan),Interior #82168,['Venom (Mac Gargan)']
2049,Venom (Ultimate),Growing Pains,"['Harry Osborn (Ultimate)', 'Venom (Ultimate)']"
2050,Venom (Ultimate),"Sex, Lies, and DVDs 1 of 5","['Valkyrie (Ultimate)', 'Venom (Ultimate)', 'Wasp (Ultimate)']"
2051,Venom (Ultimate),Interior #59158,"['Valkyrie (Ultimate)', 'Venom (Ultimate)']"
2052,Venom (Ultimate),interior to Ultimate Comics Spider-Man (2011) #16.1,['Venom (Ultimate)']
2053,Venus (Siren),The Statue That Came to Life,['Venus (Siren)']
2054,Venus (Siren),Where Gargoyles Dwell!,['Venus (Siren)']
2055,Venus (Siren),1 of 3,"['Agents of Atlas', 'Agents of Atlas', 'Venus (Siren)']"
2056,Venus (Siren),2 of 2,"['Rage', 'Venus (Siren)', 'Young Avengers']"
2057,Venus Dee Milo,Edie Sawyer Saved My Life,"['Oracle', 'Venus Dee Milo', 'X-Statix']"
2058,Venus Dee Milo,That's Entertainment!,['Venus Dee Milo']
2059,Venus Dee Milo,Talking About Edie With Arnie,['Venus Dee Milo']
2060,Venus Dee Milo,The Mysterious Fan Boy!,['Venus Dee Milo']
2061,Venus Dee Milo,"Good Guy, Bad Guy",['Venus Dee Milo']
2062,Venus Dee Milo,It's Official!,['Venus Dee Milo']
2063,Venus Dee Milo,The Dark Dimension,['Venus Dee Milo']
2064,Venus Dee Milo,X-Statix: The Movie,['Venus Dee Milo']
2065,Vermin (Edward Whelan),Mean Streets,['Vermin (Edward Whelan)']
2066,Vermin (Edward Whelan),Stay Alive Part 1,"['Omega Red', 'Vermin (Edward Whelan)']"
2067,Vermin (Edward Whelan),The Logan Files Part 1,"['Omega Red', 'Vermin (Edward Whelan)']"
2068,Vermin (Edward Whelan),Up From the Depths,['Vermin (Edward Whelan)']
2069,Vermin (Edward Whelan),Wounds,['Vermin (Edward Whelan)']
2070,Vermin (Edward Whelan),Spider-Man: Fear Itself #2,['Vermin (Edward Whelan)']
2071,Vermin (Edward Whelan),interior,['Vermin (Edward Whelan)']
2072,Wallflower,1 of 3 Haunting at Xaviers,"['Elixir', 'New X-Men', 'Wallflower']"
2073,Wallflower,Interior #3358,"['Dani Moonstar', 'Elixir', 'New X-Men', 'Tag', 'Wallflower']"
2074,Wallflower,Interior #3360,"['Elixir', 'New X-Men', 'Wallflower']"
2075,Wallflower,Interior #3362,"['Dani Moonstar', 'Elixir', 'New X-Men', 'Tag', 'Wallflower']"
2076,Wallflower,"""CHOOSING SIDES"" PART 5 (OF 6) The school is divided over the fate of young Kevin Ford, the mutant whose very touch can kill. Wi","['Dani Moonstar', 'Elixir', 'New X-Men', 'Wallflower']"
2077,Wallflower,"""CHOOSING SIDES"" PART 6 (OF 6) The battle over the fate of young Kevin Ford turns explosive as the New Mutants go head-to-head w","['Dani Moonstar', 'Elixir', 'Wallflower']"
2078,Wallflower,2 of 3 Haunting at Xaviers,"['Dani Moonstar', 'Elixir', 'Wallflower']"
2079,Wallflower,3 of 3 Haunting at Xaviers,"['Dani Moonstar', 'Elixir', 'Wallflower']"
2080,Wallflower,1 of 2 - Too Much Information,"['Dani Moonstar', 'Elixir', 'Wallflower']"
2081,War (Abraham Kieros),"Whose Death Is It, Anyway?","['Famine', 'War (Abraham Kieros)']"
2082,War (Abraham Kieros),"Die, Mutants, Die!","['Caliban', 'Famine', 'Pestilence', 'War (Abraham Kieros)']"
2083,War (Abraham Kieros),Masks,"['Caliban', 'Famine', 'Pestilence', 'War (Abraham Kieros)']"
2084,War (Abraham Kieros),Judgement Day!,"['Caliban', 'Famine', 'Pestilence', 'War (Abraham Kieros)']"
2085,War (Abraham Kieros),Casualties,"['Caliban', 'Famine', 'War (Abraham Kieros)']"
2086,War (Abraham Kieros),Gifts!,"['Famine', 'Pestilence', 'War (Abraham Kieros)']"
2087,War (Abraham Kieros),Guardian,"['Famine', 'Pestilence', 'War (Abraham Kieros)']"
2088,War (Abraham Kieros),Tough Love,"['Banshee (Theresa Rourke)', 'Famine', 'War (Abraham Kieros)']"
2089,War (Abraham Kieros),Overture,"['Damage Control', 'Famine', 'War (Abraham Kieros)', 'Warpath']"
2090,War (Abraham Kieros),Familiar Refrain,"['Famine', 'War (Abraham Kieros)', 'Warpath']"
2091,War (Abraham Kieros),Origins,['War (Abraham Kieros)']
2092,War Machine (James Rhodes),Knight's Errand,['War Machine (James Rhodes)']
2093,War Machine (James Rhodes),Deadly Blessing,['War Machine (James Rhodes)']
2094,War Machine (James Rhodes),Endgame,['War Machine (James Rhodes)']
2095,War Machine (James Rhodes),One of Those Days,['War Machine (James Rhodes)']
2096,War Machine (James Rhodes),The Empty Shell,"['Obadiah Stane', 'War Machine (James Rhodes)']"
2097,War Machine (James Rhodes),The Iron Scream,"['Machine Man', 'War Machine (James Rhodes)']"
2098,War Machine (James Rhodes),"Like All Secrets, Easily Revealed",['War Machine (James Rhodes)']
2099,War Machine (James Rhodes),,"['Baron Strucker', 'Daily Bugle', 'Gargoyle (Isaac Christians)', 'Gargoyle (Isaac Christians)', 'Immortus', 'Immortus', 'Paladin', 'War Machine (James Rhodes)', 'War Machine (James Rhodes)', 'War Machine (James Rhodes)', 'Zombie (Simon Garth)']"
2100,War Machine (James Rhodes),,"['Baron Strucker', 'Daily Bugle', 'Gargoyle (Isaac Christians)', 'Gargoyle (Isaac Christians)', 'Immortus', 'Immortus', 'Paladin', 'War Machine (James Rhodes)', 'War Machine (James Rhodes)', 'War Machine (James Rhodes)', 'Zombie (Simon Garth)']"
2101,War Machine (James Rhodes),,"['Baron Strucker', 'Daily Bugle', 'Gargoyle (Isaac Christians)', 'Gargoyle (Isaac Christians)', 'Immortus', 'Immortus', 'Paladin', 'War Machine (James Rhodes)', 'War Machine (James Rhodes)', 'War Machine (James Rhodes)', 'Zombie (Simon Garth)']"
2102,War Machine (James Rhodes),Judgment Day,['War Machine (James Rhodes)']
2103,War Machine (James Rhodes),The Doomsday Machine!,"['Ultimo', 'War Machine (James Rhodes)']"
2104,War Machine (James Rhodes),Signal to Noise,['War Machine (James Rhodes)']
2105,Warbird,Interior #92439,['Warbird']
2106,Warbird,Interior #92441,['Warbird']
2107,Warhawk (Mitchell Tanner),The Name Is...Warhawk,['Warhawk (Mitchell Tanner)']
2108,Warhawk (Mitchell Tanner),Last Stand,"['Agent Zero', 'Warhawk (Mitchell Tanner)']"
2109,Warhawk (Mitchell Tanner),Over...Again,"['Agent Zero', 'Warhawk (Mitchell Tanner)']"
2110,Warhawk (Mitchell Tanner),story to Marvel Premiere #23,['Warhawk (Mitchell Tanner)']
2111,Warhawk (Mitchell Tanner),story to Power Man and Iron Fist #83,['Warhawk (Mitchell Tanner)']
2112,Warlock (Technarchy),Interior #57385,['Warlock (Technarchy)']
2113,Warlock (Technarchy),Interior #57397,['Warlock (Technarchy)']
2114,Warlock (Technarchy),Interior #57399,['Warlock (Technarchy)']
2115,Warlock (Technarchy),Interior #57401,['Warlock (Technarchy)']
2116,Warlock (Technarchy),Interior #57403,['Warlock (Technarchy)']
2117,Warlock (Technarchy),Interior #57405,['Warlock (Technarchy)']
2118,Warpath,Kings of Pain Part 3: Queens of Sacrifice,"['Banshee (Theresa Rourke)', 'Cannonball', 'Firestar', 'Legion', 'Warpath']"
2119,Warpath,Phalanx Covenant: Life Signs Part 1,"['Banshee (Theresa Rourke)', 'Warpath']"
2120,Warpath,"""...Our Regularly Scheduled Program...""","['Onslaught', 'Warpath']"
2121,Warpath,Pestilence!,"['Bedlam', 'Warpath']"
2122,Warpath,Who is Worthy to Break the Seals...?,['Warpath']
2123,Warpath,False Hoods,['Warpath']
2124,Warpath,I Still Believe I Cannot Be Saved,"['Bedlam', 'Warpath', 'X-Man']"
2125,Warpath,Racing the Night,"['Banshee (Theresa Rourke)', 'Emplate', 'Warpath', 'X-Man']"
2126,Warpath,Deadpool (1997) #12,"['Banshee (Theresa Rourke)', 'Warpath']"
2127,Warpath,Overture,"['Damage Control', 'Famine', 'War (Abraham Kieros)', 'Warpath']"
2128,Warpath,Familiar Refrain,"['Famine', 'War (Abraham Kieros)', 'Warpath']"
2129,Warpath,Crescendo,['Warpath']
2130,Warpath,The Splinter Of Our Discontent,['Warpath']
2131,Warpath,The End of the World as We Know It,"['Warpath', 'X-Man']"
2132,Warpath,What Dreams May Come...,"['Warpath', 'X-Man']"
2133,Warpath,Dream's End Part I: The Past is but Prologue,['Warpath']
2134,Warpath,Fingers on the Trigger,"['Reaper', 'Warpath']"
2135,Warstar,The Fate of the Phoenix!,"['Earthquake', 'Oracle', 'Tempest', 'Warstar']"
2136,Warstar,The Darkest Hour,"['Earthquake', 'Oracle', 'Tempest', 'Warstar']"
2137,Warstar,Hide-'N'-Seek!,"['Oracle', 'Quasar (Phyla-Vell)', 'Raza', 'Warstar']"
2138,Warstar,The Path Not Taken,"['Earthquake', 'Oracle', 'Raza', 'Tempest', 'Warstar']"
2139,Warstar,"Cry Justice, Cry Vengeance",['Warstar']
2140,Wasp,Interior #1500,"['Baron Strucker', 'Captain America', 'Hank Pym', 'Nick Fury', 'Wasp']"
2141,Wasp,1 of 8 - 8XLS,['Wasp']
2142,Wasp,2 of 8 - 8XLS,"['Edwin Jarvis', 'Wasp']"
2143,Wasp,3 of 8 - 8XLS,"['Baron Zemo (Heinrich Zemo)', 'Wasp']"
2144,Wasp,4 of 8 - 8XLS,"['Kang', 'Wasp']"
2145,Wasp,5 of 8 - 8XLS,"['Baron Zemo (Heinrich Zemo)', 'Edwin Jarvis', 'Jasper Sitwell', 'Quicksilver', 'Wasp', 'Yellowjacket (Hank Pym)']"
2146,Wasp (Ultimate),4 of 5 - Magnetic North,"['Cannonball', 'Captain America (Ultimate)', 'Emma Frost', 'Iceman (Ultimate)', 'Jean Grey (Ultimate)', 'Quicksilver (Ultimate)', 'Ultimates', 'Wasp (Ultimate)']"
2147,Wasp (Ultimate),"Sex, Lies, and DVDs 1 of 5","['Valkyrie (Ultimate)', 'Venom (Ultimate)', 'Wasp (Ultimate)']"
2148,Wasp (Ultimate),"Sex, Lies, and DVDs 2 of 5","['Valkyrie (Ultimate)', 'Valkyrie (Ultimate)', 'Wasp (Ultimate)', 'Wasp (Ultimate)']"
2149,Wasp (Ultimate),"Sex, Lies, and DVDs 2 of 5","['Valkyrie (Ultimate)', 'Valkyrie (Ultimate)', 'Wasp (Ultimate)', 'Wasp (Ultimate)']"
2150,Wasp (Ultimate),Interior #39348,"['Vanisher (Ultimate)', 'Wasp (Ultimate)']"
2151,Wasp (Ultimate),Interior #39351,['Wasp (Ultimate)']
2152,Wasp (Ultimate),Interior #39354,['Wasp (Ultimate)']
2153,Wasp (Ultimate),Interior #39357,['Wasp (Ultimate)']
2154,X-23,2 of 5 - Savage Land,"['Rachel Grey', 'X-23']"
2155,X-23,3 of 5 - Savage Land,"['Rachel Grey', 'X-23']"
2156,X-23,4 of 5 - World's End,"['Ka-Zar', 'X-23']"
2157,X-23,5 of 5 - World's End,"['Beast', 'Ka-Zar', 'Rachel Grey', 'X-23']"
2158,X-23,1 of 2 - Mojo Rising,"['Emma Frost', 'Rachel Grey', 'Sabretooth', 'Sage', 'Vargas', 'X-23']"
2159,X-23,Interior #2116,['X-23']
2160,X-23,6 of 7 - Wannabe,['X-23']
2161,X-23,1 of 6 - Innocence Lost,['X-23']
2162,X-Babies,Mojo Mayhem,['X-Babies']
2163,X-Babies,Interior #61193,['X-Babies']
2164,X-Babies,Interior #61195,['X-Babies']
2165,X-Babies,Interior #61197,['X-Babies']
2166,X-Babies,Interior #61199,['X-Babies']
2167,X-Babies,Interior #62484,['X-Babies']
2168,X-Babies,Interior #64829,['X-Babies']
2169,X-Babies,Interior #64831,['X-Babies']
2170,X-Babies,Interior #64833,['X-Babies']
2171,X-Babies,Interior #64835,['X-Babies']
2172,X-Cutioner,...Show Me The Way To Go Home...,['X-Cutioner']
2173,X-Cutioner,X-Men: Earth's Mutant Heroes #1,"['Ink', 'X-Cutioner', 'Zaladane']"
2174,X-Factor,Man and Super-Man!,['X-Factor']
2175,X-Factor,X-Factor,['X-Factor']
2176,X-Factor,Crossroads,"['Raza', 'S.H.I.E.L.D.', 'X-Factor']"
2177,X-Factor Investigations,Interior #90274,"['M (Monet St. Croix)', 'X-Factor Investigations']"
2178,X-Factor Investigations,Interior #90998,['X-Factor Investigations']
2179,X-Factor Investigations,story from X-Factor (2005) #251,['X-Factor Investigations']
2180,X-Factor Investigations,story from X-Factor (2005) #252,['X-Factor Investigations']
2181,X-Factor Investigations,story from X-Factor (2005) #253,['X-Factor Investigations']
2182,X-Factor Investigations,story from X-Factor (2005) #254,['X-Factor Investigations']
2183,X-Factor Investigations,story from X-Factor (2005) #255,['X-Factor Investigations']
2184,X-Factor Investigations,story from X-Factor (2005) #256,['X-Factor Investigations']
2185,X-Factor Investigations,story from X-Factor (2005) #257,['X-Factor Investigations']
2186,X-Factor Investigations,story from X-Factor (2005) #258,['X-Factor Investigations']
2187,X-Force,4 of 6,"['Dark Avengers', 'Namorita', 'New Warriors', 'Terrax', 'X-Force']"
2188,X-Force,Interior #2912,['X-Force']
2189,X-Force,"Cable completes the assembly of his team, adding a few more familiar faces to his ranks. But when he reaches out to one former X",['X-Force']
2190,X-Force,PART 3 (OF 6) Cable vs. Cannonball...and more on the mysterious Jon Spectre!,['X-Force']
2191,X-Force,5 of 6,"['Dark Avengers', 'Namorita', 'New Warriors', 'X-Force']"
2192,X-Force,6 of 6,"['Namorita', 'New Warriors', 'X-Force']"
2193,X-Force,Some of Us Looking to the Stars,['X-Force']
2194,X-Force,Where No External Has Gone Before,['X-Force']
2195,X-Force,To the Limits of Infinity,['X-Force']
2196,X-Force,The Maze,['X-Force']
2197,X-Force,Brothers Proudstar,['X-Force']
2198,X-Force,A Force To Be Reckoned With,"['Reaper', 'X-Force']"
2199,X-Force,Cable Guide: Deadpool,['X-Force']
2200,X-Force,Cable Guide: Feral,['X-Force']
2201,X-Force,Cable Guide: Shatterstar,['X-Force']
2202,X-Force,Cable Guide: G.W. Bridge,['X-Force']
2203,X-Man,Next Issue: X-Man...Cable...'Nuff Said!,['X-Man']
2204,X-Man,I Still Believe I Cannot Be Saved,"['Bedlam', 'Warpath', 'X-Man']"
2205,X-Man,Endings,"['Legion', 'X-Man']"
2206,X-Man,Racing the Night,"['Banshee (Theresa Rourke)', 'Emplate', 'Warpath', 'X-Man']"
2207,X-Man,With Great Power ...,['X-Man']
2208,X-Man,Illegal Aliens,"['Darkstar', 'Namorita', 'X-Man']"
2209,X-Man,Dark Horizon,"['Bastion', 'X-Man']"
2210,X-Man,...Apocalypse Lives! (Onslaught Phase One),"['Onslaught', 'X-Man']"
2211,X-Man,"I Am Not Now, Nor Have I Ever Been...","['Dark Phoenix', 'X-Man']"
2212,X-Man,The End of the World as We Know It,"['Warpath', 'X-Man']"
2213,X-Man,What Dreams May Come...,"['Warpath', 'X-Man']"
2214,X-Man,Same as It Never Was,['X-Man']
2215,X-Man,The Beginning of the End: Twilight of the Gods,['X-Man']
2216,X-Man,The Gathering,['X-Man']
2217,X-Man,The End of the World as We Know It Part 2,['X-Man']
2218,X-Man,First and Last Part 2,['X-Man']
2219,X-Man,X-Man,['X-Man']
2220,X-Men,Interior #472,['X-Men']
2221,X-Men,Interior #478,['X-Men']
2222,X-Men,Interior #492,['X-Men']
2223,X-Men,Interior #495,['X-Men']
2224,X-Men,Interior #501,['X-Men']
2225,X-Men,Interior #503,['X-Men']
2226,X-Men,Interior #515,['X-Men']
2227,X-Men,4 of 4 - Heroes and Villains,['X-Men']
2228,X-Men,Interior #603,['X-Men']
2229,X-Men,Interior #609,['X-Men']
2230,X-Men,Interior #611,['X-Men']
2231,X-Men,Interior #613,['X-Men']
2232,X-Men,Interior #615,['X-Men']
2233,X-Men,Interior #617,['X-Men']
2234,X-Men,Interior #619,['X-Men']
2235,X-Men (Ultimate),Interior #489,"['Fantastic Four (Ultimate)', 'Iceman (Ultimate)', 'Invisible Woman (Ultimate)', 'Jean Grey (Ultimate)', 'X-Men (Ultimate)']"
2236,X-Men (Ultimate),Interior #531,['X-Men (Ultimate)']
2237,X-Men (Ultimate),7 of 8 - The Clone Saga,"['Fantastic Four (Ultimate)', 'Peter Parker', 'X-Men (Ultimate)']"
2238,X-Men (Ultimate),4 of 4 - Cry Wolf,['X-Men (Ultimate)']
2239,X-Men (Ultimate),Interior #1421,['X-Men (Ultimate)']
2240,X-Men (Ultimate),Interior #1423,['X-Men (Ultimate)']
2241,X-Men (Ultimate),Interior #1425,['X-Men (Ultimate)']
2242,X-Men (Ultimate),Interior #1427,['X-Men (Ultimate)']
2243,X-Statix,Interior #1017,['X-Statix']
2244,X-Statix,Interior #1210,['X-Statix']
2245,X-Statix,Interior #1301,['X-Statix']
2246,X-Statix,Interior #1752,['X-Statix']
2247,X-Statix,Interior #1754,['X-Statix']
2248,X-Statix,Interior #1756,['X-Statix']
2249,X-Statix,Interior #1758,['X-Statix']
2250,X-Statix,Interior #1760,['X-Statix']
2251,X-Statix,Interior #1762,['X-Statix']
2252,X-Statix,Interior #1764,['X-Statix']
2253,X-Statix,Edie Sawyer Saved My Life,"['Oracle', 'Venus Dee Milo', 'X-Statix']"
2254,X-Statix,Code X,['X-Statix']
2255,X-Statix,How the Super-Hero Business Works,['X-Statix']
2256,Xorn (Kuan-Yin Xorn),Day of the Atom Part Two: Immortals,['Xorn (Kuan-Yin Xorn)']
2257,Xorn (Kuan-Yin Xorn),Day of the Atom Part Three,['Xorn (Kuan-Yin Xorn)']
2258,Xorn (Kuan-Yin Xorn),Day of the Atom Part Four: Forces of Nature,['Xorn (Kuan-Yin Xorn)']
2259,Xorn (Kuan-Yin Xorn),Heroes and Villains Part Two: Treachery,['Xorn (Kuan-Yin Xorn)']
2260,Xorn (Kuan-Yin Xorn),Heroes and Villains Part Three: Foreshadowing,['Xorn (Kuan-Yin Xorn)']
2261,Xorn (Kuan-Yin Xorn),Heroes and Villains Part Four: Full Circle,['Xorn (Kuan-Yin Xorn)']
2262,Xorn (Kuan-Yin Xorn),Freaks & Geeks,['Xorn (Kuan-Yin Xorn)']
2263,Xorn (Kuan-Yin Xorn),The Draco Part Two,['Xorn (Kuan-Yin Xorn)']
2264,Xorn (Kuan-Yin Xorn),The Prime of Miss Emma Frost,"['Beak', 'Xorn (Kuan-Yin Xorn)']"
2265,Xorn (Kuan-Yin Xorn),Riot at Xavier's,"['Beak', 'Xorn (Kuan-Yin Xorn)']"
2266,Xorn (Kuan-Yin Xorn),when X is not X,"['Beak', 'Xorn (Kuan-Yin Xorn)']"
2267,Xorn (Kuan-Yin Xorn),teaching children about fractals,"['Beak', 'Xorn (Kuan-Yin Xorn)']"
2268,Xorn (Kuan-Yin Xorn),of living and dying,['Xorn (Kuan-Yin Xorn)']
2269,Xorn (Kuan-Yin Xorn),All Hell,"['Beak', 'Xorn (Kuan-Yin Xorn)']"
2270,Xorn (Kuan-Yin Xorn),Losers,"['Beak', 'Xorn (Kuan-Yin Xorn)']"
2271,Yellow Claw,The Second Doom,['Yellow Claw']
2272,Yellow Claw,"So Evil, the Night!",['Yellow Claw']
2273,Yellow Claw,If Death Be My Destiny!,['Yellow Claw']
2274,Yellow Claw,Claws Across the Water!,['Yellow Claw']
2275,Yellow Claw,Shadow of the Claw!,['Yellow Claw']
2276,Yellow Claw,Confrontation!,"['Pepper Potts', 'Ultimo', 'Unicorn', 'Yellow Claw']"
2277,Yellow Claw,Who Shall Stop...Ultimo?,"['Happy Hogan', 'Pepper Potts', 'Ultimo', 'Yellow Claw']"
2278,Yellow Claw,[untitled],"['Baron Strucker', 'Hammerhead (Ultimate)', 'Killraven', 'Killraven', 'Killraven', 'Killraven', 'Killraven', 'Yellow Claw']"
2279,Yellow Claw,A Plague of Frogs,['Yellow Claw']
2280,Yellow Claw,Is This the Way the World Ends?,['Yellow Claw']
2281,Yellow Claw,Interior #49795,['Yellow Claw']
2282,Yellowjacket (Hank Pym),2 of 6,"['Dark Avengers', 'Namorita', 'New Warriors', 'Red Ghost', 'U.S. Agent', 'Yellowjacket (Hank Pym)', 'Young Avengers']"
2283,Yellowjacket (Hank Pym),4 of 4 - The Other Pt. 9,['Yellowjacket (Hank Pym)']
2284,Yellowjacket (Hank Pym),5 of 8 - 8XLS,"['Baron Zemo (Heinrich Zemo)', 'Edwin Jarvis', 'Jasper Sitwell', 'Quicksilver', 'Wasp', 'Yellowjacket (Hank Pym)']"
2285,Yellowjacket (Hank Pym),6 of 8 - 8XLS,"['Baron Zemo (Heinrich Zemo)', 'Edwin Jarvis', 'Quicksilver', 'Yellowjacket (Hank Pym)']"
2286,Yellowjacket (Hank Pym),7 of 8 - 8XLS,"['Edwin Jarvis', 'Quicksilver', 'Yellowjacket (Hank Pym)']"
2287,Yellowjacket (Hank Pym),Interior #8382,['Yellowjacket (Hank Pym)']
2288,Yellowjacket (Rita DeMara),Interior #82164,['Yellowjacket (Rita DeMara)']
2289,Yellowjacket (Rita DeMara),interior to Guardians of the Galaxy #34,['Yellowjacket (Rita DeMara)']
2290,Yondu,story from Marvel Cinematic Universe Handbook (2015) #9,"['Nebula', 'Yondu']"
2291,Yondu,interior to Guardians of the Galaxy Annual (1991),"['Vance Astro', 'Yondu']"
2292,Yondu,interior to Guardians of the Galaxy (1990) #1,"['Vance Astro', 'Yondu']"
2293,Yondu,interior to Guardians of the Galaxy (1990) #2,"['Vance Astro', 'Yondu']"
2294,Yondu,interior to Guardians of the Galaxy (1990) #3,"['Vance Astro', 'Yondu']"
2295,Yondu,interior to Guardians of the Galaxy (1990) #4,"['Vance Astro', 'Yondu']"
2296,Yondu,interior to Guardians of the Galaxy (1990) #5,"['Vance Astro', 'Yondu']"
2297,Young Avengers,Interior #480,['Young Avengers']
2298,Young Avengers,1 of 6,"['Elektra', 'Namorita', 'New Warriors', 'Young Avengers']"
2299,Young Avengers,2 of 6 - Sidekicks,['Young Avengers']
2300,Young Avengers,3 of 6 - Sidekicks,['Young Avengers']
2301,Young Avengers,4 of 6 - Sidekicks,['Young Avengers']
2302,Young Avengers,5 of 6 - Sidekicks,['Young Avengers']
2303,Young Avengers,6 of 6 - Sidekicks,['Young Avengers']
2304,Young Avengers,1 of 2,"['Fat Cobra', 'Jeryn Hogarth', 'Young Avengers']"
2305,Young Avengers,2 of 2,"['Rage', 'Venus (Siren)', 'Young Avengers']"
2306,Young Avengers,1 of 4,"['Empath', 'Madelyne Pryor', 'Vanisher (Telford Porter)', 'Young Avengers']"
